name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Renault Triber,2015,93813,92017,Petrol,Individual,Manual,First Owner,19.83 kmpl,1112 CC,59.6 bhp,77Nm@ 4000rpm,7.0
Tata Safari,2013,97482,108038,Diesel,Individual,Manual,Second Owner,16.42 kmpl,1965 CC,112.9 bhp,167Nm@ 1500rpm,5.0
Maruti Ertiga,2015,140883,104865,Diesel,Individual,Manual,First Owner,16.52 kmpl,2152 CC,125.0 bhp,210Nm@ 2200rpm,4.0
Mahindra XUV300,2017,183691,69778,Petrol,Individual,Automatic,Second Owner,19.72 kmpl,1554 CC,102.5 bhp,176Nm@ 3000rpm,5.0
Tata Safari,2017,114210,87011,Diesel,Individual,Manual,Third Owner,17.49 kmpl,1784 CC,113.8 bhp,181Nm@ 3000rpm,7.0
Ford Endeavour,2012,84649,144127,Petrol,Individual,Manual,First Owner,19.55 kmpl,1586 CC,114.9 bhp,124Nm@ 2500rpm,6.0
Volkswagen Tiguan,2011,100783,158806,Diesel,Individual,Manual,First Owner,20.48 kmpl,1681 CC,112.9 bhp,163Nm@ 1750rpm,7.0
Toyota Etios,2011,90262,149628,Petrol,Individual,Manual,First Owner,19.38 kmpl,1453 CC,92.7 bhp,118Nm@ 2500rpm,5.0
Hyundai Grand i10,2019,182213,69143,Petrol,Individual,Manual,First Owner,15.97 kmpl,1790 CC,115.8 bhp,175Nm@ 1750rpm,6.0
Hyundai Creta,2014,137414,119187,Diesel,Dealer,Manual,First Owner,24.43 kmpl,1367 CC,89.4 bhp,147Nm@ 3000rpm,4.0
Honda Civic,2009,50014,180633,Diesel,Individual,Manual,Fourth & Above Owner,21.42 kmpl,1488 CC,78.0 bhp,,5.0
Tata Safari,2007,40000,201932,Diesel,Individual,Manual,First Owner,22.72 kmpl,1419 CC,79.5 bhp,134Nm@ 2500rpm,5.0
Honda WR-V,2009,55364,178790,CNG,Individual,Manual,First Owner,22.13 kmpl,1169 CC,82.4 bhp,140Nm@ 2200rpm,5.0
Hyundai i10,2016,160812,111519,Petrol,Dealer,Automatic,First Owner,19.9 kmpl,1385 CC,66.8 bhp,96Nm@ 1750rpm,7.0
Hyundai i20,2016,155025,106724,Petrol,Individual,Manual,First Owner,17.53 kmpl,1783 CC,117.9 bhp,188Nm@ 3000rpm,5.0
Hyundai Creta,2019,233876,28806,Petrol,Individual,Automatic,First Owner,19.07 kmpl,1863 CC,104.7 bhp,146Nm@ 2200rpm,5.0
Mercedes-Benz GLA,2010,228494,145594,Diesel,Individual,Manual,First Owner,19.96 kmpl,1841 CC,125.1 bhp,138Nm@ 2000rpm,7.0
Toyota Corolla,2009,64958,149185,Petrol,Individual,Manual,Second Owner,20.06 kmpl,1273 CC,94.1 bhp,146Nm@ 2200rpm,5.0
Audi Q3,2015,373889,140221,Petrol,Dealer,Manual,Second Owner,13.41 kmpl,2246 CC,146.9 bhp,237Nm@ 1750rpm,6.0
Renault Duster,2022,243669,5612,CNG,Individual,Automatic,Second Owner,22.23 kmpl,1367 CC,73.7 bhp,94Nm@ 2000rpm,4.0
Tata Tiago,2010,59166,141175,Diesel,Individual,Manual,First Owner,24.02 kmpl,1121 CC,65.9 bhp,101Nm@ 3000rpm,5.0
Renault Duster,2013,84155,139646,Petrol,Dealer,Manual,Second Owner,16.75 kmpl,1926 CC,113.6 bhp,161Nm@ 2200rpm,7.0
Tata Tiago,2014,130986,111339,Diesel,Individual,Automatic,First Owner,21.46 kmpl,1687 CC,124.7 bhp,170Nm@ 1750rpm,5.0
Mahindra XUV500,2012,105823,119626,Petrol,Individual,Automatic,Third Owner,17.65 kmpl,1592 CC,92.9 bhp,146Nm@ 2200rpm,6.0
Tata Tiago,2014,99372,97181,Petrol,Individual,Manual,Second Owner,19.19 kmpl,1535 CC,79.1 bhp,123Nm@ 2500rpm,7.0
Audi A4,2007,104987,194528,Petrol,Individual,Manual,Second Owner,14.98 kmpl,2475 CC,158.5 bhp,235Nm@ 1500rpm,7.0
Tata Nexon,2017,155554,72095,Diesel,Individual,Manual,First Owner,21.61 kmpl,1262 CC,85.0 bhp,113Nm@ 1500rpm,4.0
Maruti Wagon R,2016,103364,101304,Petrol,Individual,Manual,Second Owner,18.61 kmpl,1500 CC,78.5 bhp,122Nm@ 4000rpm,6.0
Maruti Dzire,2009,47308,213679,Petrol,Trustmark Dealer,Manual,First Owner,20.08 kmpl,1287 CC,86.5 bhp,133Nm@ 2500rpm,5.0
Mercedes-Benz C-Class,2021,839845,27609,Petrol,Individual,Manual,First Owner,17.52 kmpl,1962 CC,130.6 bhp,207Nm@ 1750rpm,5.0
Tata Safari,2012,64457,163865,Diesel,Individual,Manual,First Owner,20.87 kmpl,1314 CC,67.7 bhp,95Nm@ 2200rpm,6.0
Volkswagen Tiguan,2014,141510,110380,CNG,Dealer,Automatic,Second Owner,20.58 kmpl,1319 CC,75.6 bhp,115Nm@ 2200rpm,5.0
Toyota Fortuner,2013,121404,114731,Diesel,Individual,Manual,First Owner,17.71 kmpl,1980 CC,132.9 bhp,225Nm@ 2000rpm,5.0
Honda Jazz,2005,46712,181470,Diesel,Individual,Manual,First Owner,22.75 kmpl,1592 CC,99.3 bhp,138Nm@ 4000rpm,7.0
Mahindra Bolero,2013,122760,119078,Diesel,Individual,Manual,First Owner,17.33 kmpl,1787 CC,89.5 bhp,134Nm@ 4000rpm,7.0
Hyundai Verna,2009,62223,147255,Petrol,Individual,Manual,Second Owner,20.14 kmpl,1793 CC,94.5 bhp,128Nm@ 1750rpm,7.0
Tata Tiago,2020,219884,35863,Diesel,Individual,Manual,First Owner,23.87 kmpl,1037 CC,61.7 bhp,94Nm@ 2500rpm,4.0
Hyundai Grand i10,2016,159086,87718,Petrol,Individual,Automatic,Second Owner,18.3 kmpl,1517 CC,87.0 bhp,136Nm@ 2200rpm,5.0
Toyota Etios,2011,92403,132490,Diesel,Individual,Manual,Second Owner,22.4 kmpl,,83.8 bhp,132Nm@ 3000rpm,5.0
Toyota Innova,2017,175686,89807,Diesel,Individual,Manual,Second Owner,22.64 kmpl,1352 CC,85.0 bhp,132Nm@ 2000rpm,5.0
Audi A4,2017,617305,74543,Petrol,Individual,Automatic,Second Owner,15.28 kmpl,2437 CC,192.0 bhp,244Nm@ 2500rpm,5.0
BMW 3 Series,2013,305795,110469,Petrol,Individual,Manual,First Owner,17.47 kmpl,1950 CC,108.3 bhp,163Nm@ 3000rpm,5.0
Hyundai Creta,2018,258467,37360,Diesel,Individual,Manual,First Owner,18.75 kmpl,1857 CC,108.8 bhp,165Nm@ 3000rpm,8.0
Hyundai i20,2016,135291,71606,Petrol,Individual,Manual,Second Owner,19.53 kmpl,1506 CC,83.7 bhp,121Nm@ 2000rpm,4.0
Renault Triber,2014,86083,132131,Diesel,Individual,Manual,First Owner,24.73 kmpl,1179 CC,73.9 bhp,103Nm@ 1500rpm,7.0
Mahindra Thar,2011,72474,161698,Diesel,Individual,Manual,Second Owner,21.2 kmpl,1654 CC,103.6 bhp,156Nm@ 2200rpm,5.0
Maruti Dzire,2018,142291,66087,Diesel,Individual,Manual,First Owner,21.14 kmpl,1711 CC,113.9 bhp,177Nm@ 2200rpm,4.0
Honda Amaze,2011,116337,124655,Petrol,Dealer,Automatic,First Owner,16.88 kmpl,1707 CC,103.0 bhp,153Nm@ 2000rpm,5.0
Mercedes-Benz E-Class,2015,353279,96868,Petrol,Individual,Manual,First Owner,13.83 kmpl,2348 CC,160.2 bhp,234Nm@ 2200rpm,5.0
Toyota Innova,2019,349222,72311,Diesel,Individual,Automatic,First Owner,22.07 kmpl,1508 CC,109.0 bhp,192Nm@ 2000rpm,5.0
Hyundai Venue,2013,96798,125868,Petrol,Individual,Automatic,First Owner,21.04 kmpl,1053 CC,67.5 bhp,91Nm@ 3000rpm,5.0
Audi A4,2018,564217,50315,Diesel,Individual,Manual,First Owner,16.14 kmpl,2368 CC,172.3 bhp,268Nm@ 2000rpm,5.0
Hyundai i20,2019,199006,19769,Petrol,Individual,Manual,Third Owner,18.09 kmpl,1555 CC,87.4 bhp,155Nm@ 2500rpm,6.0
Tata Nexon,2015,134052,110623,Petrol,Individual,Automatic,First Owner,19.44 kmpl,1514 CC,94.4 bhp,138Nm@ 4000rpm,7.0
Volkswagen Vento,2010,90763,169525,Petrol,Individual,Automatic,Second Owner,18.21 kmpl,1587 CC,79.3 bhp,112Nm@ 2000rpm,7.0
Toyota Innova,2013,153856,115030,Diesel,Dealer,Automatic,First Owner,19.37 kmpl,1606 CC,81.0 bhp,128Nm@ 1750rpm,7.0
Mahindra XUV500,2016,119555,85174,CNG,Individual,Manual,Third Owner,20.55 kmpl,1415 CC,84.6 bhp,117Nm@ 3000rpm,6.0
Volkswagen Polo,2020,259030,34812,Petrol,Individual,Manual,First Owner,17.76 kmpl,1883 CC,106.8 bhp,173Nm@ 1750rpm,5.0
Honda Amaze,2016,113792,120237,LPG,Individual,Manual,Second Owner,19.64 kmpl,1466 CC,98.7 bhp,145Nm@ 1500rpm,7.0
Tata Tiago,2013,65771,137192,CNG,Dealer,Manual,First Owner,16.45 kmpl,1671 CC,106.1 bhp,163Nm@ 2000rpm,4.0
Toyota Corolla,2012,76542,124961,Petrol,Individual,Manual,Fourth & Above Owner,20.77 kmpl,,80.2 bhp,112Nm@ 4000rpm,5.0
Renault Triber,2012,68697,136182,Diesel,Individual,Manual,First Owner,20.85 kmpl,1547 CC,79.6 bhp,114Nm@ 1500rpm,5.0
Honda Amaze,2018,248491,61580,Diesel,Individual,Automatic,Second Owner,19.82 kmpl,1653 CC,105.0 bhp,148Nm@ 1750rpm,8.0
Hyundai Verna,2018,178983,66350,Diesel,Individual,Manual,Second Owner,23.9 kmpl,1315 CC,84.8 bhp,116Nm@ 2500rpm,4.0
Renault Triber,2017,131937,66628,CNG,Individual,Manual,First Owner,20.03 kmpl,1427 CC,81.8 bhp,126Nm@ 2000rpm,5.0
Mercedes-Benz C-Class,2011,269959,142826,Diesel,Individual,Manual,First Owner,17.13 kmpl,2223 CC,128.5 bhp,241Nm@ 1750rpm,5.0
Toyota Fortuner,2016,202358,100953,Petrol,Individual,Manual,First Owner,15.13 kmpl,2567 CC,148.6 bhp,209Nm@ 1750rpm,7.0
Ford Endeavour,2017,179606,65814,Petrol,Individual,Automatic,Second Owner,21.55 kmpl,1436 CC,90.6 bhp,149Nm@ 2200rpm,6.0
Audi A6,2010,170681,166545,Petrol,Individual,Manual,Second Owner,18.32 kmpl,1613 CC,104.6 bhp,172Nm@ 3000rpm,5.0
Maruti Vitara Brezza,2013,115756,128696,Diesel,Individual,Automatic,First Owner,16.5 kmpl,2298 CC,147.0 bhp,232Nm@ 4000rpm,8.0
Hyundai i10,2013,96087,114043,Petrol,Trustmark Dealer,Manual,Second Owner,18.6 kmpl,1556 CC,115.5 bhp,158Nm@ 3000rpm,7.0
Audi Q3,2007,142779,173382,Petrol,Individual,Manual,First Owner,16.63 kmpl,1985 CC,132.6 bhp,165Nm@ 4000rpm,5.0
Mahindra XUV500,2014,111850,125045,Diesel,Trustmark Dealer,Manual,First Owner,20.15 kmpl,1634 CC,95.3 bhp,142Nm@ 4000rpm,6.0
Maruti Alto,2015,100144,113761,Diesel,Individual,Manual,First Owner,21.82 kmpl,1322 CC,67.9 bhp,99Nm@ 1750rpm,6.0
Maruti Ertiga,2020,155737,73111,Diesel,Individual,Manual,Second Owner,20.52 kmpl,1535 CC,85.8 bhp,124Nm@ 2200rpm,7.0
Renault Duster,2011,43764,120796,Petrol,Individual,Manual,Third Owner,18.46 kmpl,1640 CC,107.9 bhp,150Nm@ 2000rpm,6.0
Mercedes-Benz C-Class,2015,379531,91949,Petrol,Individual,Manual,Second Owner,13.33 kmpl,2218 CC,132.9 bhp,225Nm@ 4000rpm,5.0
Honda Civic,2016,190562,78829,CNG,Trustmark Dealer,Automatic,First Owner,18.01 kmpl,1720 CC,99.1 bhp,180Nm@ 2500rpm,5.0
Honda Jazz,2015,113648,98026,Petrol,Individual,Manual,First Owner,20.51 kmpl,1438 CC,94.7 bhp,144Nm@ 1500rpm,7.0
Renault Kwid,2021,257998,23188,Diesel,Individual,Automatic,First Owner,22.67 kmpl,1381 CC,91.7 bhp,154Nm@ 3000rpm,7.0
Maruti Alto,2012,65099,146614,Petrol,Individual,Automatic,Second Owner,17.88 kmpl,1601 CC,97.5 bhp,130Nm@ 1500rpm,5.0
Honda WR-V,2015,155335,82011,Diesel,Individual,Automatic,Fourth & Above Owner,19.96 kmpl,1820 CC,110.8 bhp,156Nm@ 4000rpm,7.0
Hyundai i20,2018,158845,77440,Petrol,Individual,Manual,First Owner,22.29 kmpl,788 CC,38.3 bhp,62Nm@ 4000rpm,6.0
Hyundai Grand i10,2021,261908,13197,Petrol,Individual,Manual,First Owner,17.15 kmpl,1646 CC,116.6 bhp,184Nm@ 2200rpm,4.0
Maruti Ertiga,2016,135750,126438,Petrol,Dealer,Automatic,First Owner,19.94 kmpl,1391 CC,75.4 bhp,123Nm@ 2200rpm,7.0
Ford Endeavour,2014,95975,97236,Petrol,Individual,Manual,First Owner,18.83 kmpl,1542 CC,99.0 bhp,179Nm@ 2200rpm,6.0
Ford Figo,2015,108962,95704,Petrol,Individual,Manual,Second Owner,20.02 kmpl,1554 CC,105.3 bhp,151Nm@ 2200rpm,5.0
Maruti Alto,2013,73668,168482,Diesel,Individual,Manual,Second Owner,21.85 kmpl,1717 CC,,193Nm@ 2500rpm,6.0
Mercedes-Benz GLA,2013,276749,129217,Petrol,Individual,Manual,Second Owner,12.78 kmpl,2262 CC,132.8 bhp,205Nm@ 2500rpm,5.0
Tata Safari,2015,124476,123167,Petrol,Individual,Manual,First Owner,18.54 kmpl,1575 CC,98.3 bhp,151Nm@ 2000rpm,5.0
Tata Tiago,2013,82744,99569,Diesel,Individual,Manual,First Owner,24.41 kmpl,1178 CC,77.8 bhp,111Nm@ 2000rpm,
Renault Kwid,2015,86582,129140,Diesel,Dealer,Manual,First Owner,26.16 kmpl,767 CC,40.6 bhp,61Nm@ 2000rpm,7.0
Mercedes-Benz GLA,2013,348534,113801,CNG,Individual,Automatic,First Owner,14.4 kmpl,2385 CC,150.3 bhp,236Nm@ 3000rpm,7.0
Hyundai Grand i10,2012,110364,165958,Diesel,Dealer,Automatic,Second Owner,19.95 kmpl,1603 CC,113.8 bhp,160Nm@ 1500rpm,7.0
Ford EcoSport,2015,105279,101198,Petrol,Individual,Manual,Second Owner,20.43 kmpl,1340 CC,96.7 bhp,145Nm@ 3000rpm,5.0
Honda Jazz,2019,275652,78879,Diesel,Individual,Manual,First Owner,19.25 kmpl,1894 CC,118.4 bhp,204Nm@ 2200rpm,
Honda Amaze,2020,303207,34490,Diesel,Individual,Manual,First Owner,19.7 kmpl,1603 CC,116.3 bhp,186Nm@ 4000rpm,6.0
Hyundai i20,2012,104989,107902,Diesel,Individual,Manual,First Owner,21.79 kmpl,1550 CC,89.3 bhp,136Nm@ 2000rpm,7.0
Renault Triber,2011,65694,137597,Diesel,Individual,Manual,Second Owner,19.59 kmpl,1754 CC,102.4 bhp,156Nm@ 4000rpm,
Volkswagen Tiguan,2016,145541,87099,Petrol,Individual,Manual,Fourth & Above Owner,16.57 kmpl,1717 CC,126.8 bhp,189Nm@ 1500rpm,5.0
Maruti Dzire,2020,217576,48685,Diesel,Individual,Manual,Second Owner,23.79 kmpl,1478 CC,94.9 bhp,152Nm@ 1500rpm,8.0
Toyota Glanza,2015,132038,95325,Petrol,Dealer,Manual,First Owner,22.04 kmpl,1422 CC,87.5 bhp,152Nm@ 4000rpm,5.0
Maruti Baleno,2024,381035,318,Diesel,Individual,Manual,First Owner,21.02 kmpl,1758 CC,106.1 bhp,153Nm@ 1500rpm,8.0
Renault Duster,2012,96261,133217,Diesel,Individual,Manual,First Owner,21.23 kmpl,1695 CC,121.1 bhp,206Nm@ 1750rpm,5.0
Hyundai i20,2014,99594,140050,CNG,Individual,Manual,First Owner,20.23 kmpl,1466 CC,97.8 bhp,147Nm@ 1750rpm,4.0
Mahindra Scorpio,2012,107329,145532,Petrol,Individual,Automatic,Second Owner,14.84 kmpl,1813 CC,114.3 bhp,144Nm@ 1500rpm,8.0
Mahindra Thar,2020,270646,56502,Petrol,Individual,Manual,First Owner,17.02 kmpl,1829 CC,132.3 bhp,151Nm@ 1750rpm,6.0
Renault Kwid,2008,41264,201814,Petrol,Individual,Manual,First Owner,19.81 kmpl,1438 CC,101.1 bhp,172Nm@ 1750rpm,8.0
Ford EcoSport,2009,48540,203428,Petrol,Individual,Manual,First Owner,19.15 kmpl,1604 CC,110.7 bhp,184Nm@ 2000rpm,5.0
Renault Triber,2017,131543,74375,Diesel,Individual,Manual,Second Owner,17.23 kmpl,1882 CC,126.8 bhp,165Nm@ 4000rpm,4.0
Volkswagen Vento,2013,105606,122063,Diesel,Individual,Manual,First Owner,18.68 kmpl,1618 CC,113.4 bhp,167Nm@ 4000rpm,5.0
Audi A6,2014,350548,133421,Petrol,Individual,Automatic,Second Owner,16.59 kmpl,1742 CC,93.5 bhp,154Nm@ 2000rpm,8.0
Mahindra Bolero,2016,126188,115587,Petrol,Individual,Manual,Second Owner,19.8 kmpl,1667 CC,132.5 bhp,184Nm@ 1750rpm,5.0
Maruti Ertiga,2012,79966,108474,Petrol,Individual,Manual,First Owner,19.89 kmpl,1435 CC,99.1 bhp,149Nm@ 3000rpm,7.0
Mahindra Scorpio,2017,215894,60336,Petrol,Individual,Manual,First Owner,15.79 kmpl,2130 CC,133.0 bhp,219Nm@ 2200rpm,5.0
BMW 5 Series,2012,245263,118090,Petrol,Individual,Manual,First Owner,17.37 kmpl,2190 CC,145.9 bhp,202Nm@ 1750rpm,7.0
Volkswagen Vento,2009,78677,133302,Diesel,Individual,Manual,First Owner,20.75 kmpl,1405 CC,75.2 bhp,98Nm@ 1500rpm,7.0
Hyundai i20,2006,46480,215732,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1547 CC,96.8 bhp,139Nm@ 2200rpm,4.0
Hyundai Venue,2020,223478,70154,Petrol,Individual,Manual,First Owner,20.28 kmpl,1686 CC,106.2 bhp,166Nm@ 3000rpm,5.0
BMW 5 Series,2017,455124,74873,Petrol,Dealer,Automatic,Second Owner,14.86 kmpl,2030 CC,135.5 bhp,220Nm@ 4000rpm,5.0
BMW 3 Series,2017,405271,105912,CNG,Dealer,Manual,Second Owner,15.68 kmpl,2419 CC,160.4 bhp,213Nm@ 2500rpm,4.0
Mahindra Thar,2009,53580,182367,Petrol,Dealer,Manual,Second Owner,21.09 kmpl,1355 CC,71.6 bhp,126Nm@ 1500rpm,6.0
Tata Altroz,2013,78047,145746,Petrol,Individual,Manual,Fourth & Above Owner,17.44 kmpl,1675 CC,116.4 bhp,188Nm@ 2000rpm,7.0
Mahindra Bolero,2012,70771,150854,Petrol,Individual,Manual,First Owner,20.5 kmpl,1522 CC,112.6 bhp,192Nm@ 4000rpm,7.0
Ford EcoSport,2020,286713,69135,Diesel,Individual,Automatic,First Owner,20.46 kmpl,1676 CC,108.0 bhp,165Nm@ 2000rpm,7.0
Hyundai i10,2018,161833,116878,Petrol,Individual,Manual,First Owner,15.74 kmpl,1864 CC,120.0 bhp,205Nm@ 2200rpm,8.0
Maruti Vitara Brezza,2019,150674,57975,Petrol,Individual,Manual,First Owner,19.56 kmpl,1294 CC,83.4 bhp,130Nm@ 4000rpm,4.0
Volkswagen Tiguan,2014,119036,112939,Petrol,Individual,Manual,First Owner,19.67 kmpl,1320 CC,84.9 bhp,137Nm@ 4000rpm,5.0
Honda City,2017,137342,80166,Petrol,Individual,Manual,Fourth & Above Owner,20.95 kmpl,1296 CC,82.0 bhp,104Nm@ 2000rpm,6.0
Honda Amaze,2004,40000,240350,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1694 CC,93.7 bhp,136Nm@ 4000rpm,5.0
Maruti Baleno,2013,93841,99287,Diesel,Individual,Manual,First Owner,23.68 kmpl,1297 CC,78.8 bhp,122Nm@ 2000rpm,5.0
Honda WR-V,2018,252055,72466,Diesel,Individual,Manual,First Owner,19.57 kmpl,1792 CC,116.0 bhp,153Nm@ 4000rpm,5.0
Ford EcoSport,2018,155411,70733,Petrol,Individual,Manual,First Owner,19.74 kmpl,1441 CC,76.2 bhp,119Nm@ 1500rpm,7.0
Mahindra XUV300,2010,63127,146151,Petrol,Individual,Manual,Third Owner,17.48 kmpl,1678 CC,117.9 bhp,190Nm@ 1750rpm,8.0
Honda City,2016,123026,109775,Petrol,Individual,Manual,First Owner,19.48 kmpl,1217 CC,73.5 bhp,110Nm@ 1500rpm,5.0
Tata Safari,2012,84160,119152,Petrol,Individual,Manual,First Owner,19.35 kmpl,1490 CC,103.7 bhp,155Nm@ 4000rpm,6.0
Maruti Swift,2018,130839,68101,Diesel,Individual,Manual,First Owner,23.64 kmpl,1118 CC,71.3 bhp,112Nm@ 4000rpm,7.0
Hyundai Grand i10,2016,150237,77423,Petrol,Individual,Manual,Test Drive Car,19.25 kmpl,1411 CC,95.5 bhp,144Nm@ 2000rpm,5.0
Hyundai Creta,2018,180775,82039,Petrol,Individual,Manual,Third Owner,18.85 kmpl,1688 CC,99.4 bhp,115Nm@ 2200rpm,8.0
Ford Aspire,2011,62214,114486,Petrol,Individual,Manual,Second Owner,19.83 kmpl,1511 CC,108.7 bhp,156Nm@ 2500rpm,7.0
Audi Q3,2014,357866,79059,Petrol,Individual,Manual,First Owner,17.93 kmpl,1955 CC,108.1 bhp,187Nm@ 2000rpm,5.0
Maruti Ertiga,2010,61103,138027,Petrol,Individual,Manual,Second Owner,18.08 kmpl,1605 CC,98.0 bhp,168Nm@ 3000rpm,4.0
Maruti Baleno,2017,120329,91697,Petrol,Individual,Manual,Second Owner,19.86 kmpl,1287 CC,82.5 bhp,,5.0
Toyota Fortuner,2014,111300,149145,Petrol,Individual,Manual,First Owner,20.41 kmpl,1318 CC,80.1 bhp,126Nm@ 2200rpm,5.0
Maruti Vitara Brezza,2023,244547,32266,CNG,Trustmark Dealer,Manual,Third Owner,14.93 kmpl,1586 CC,95.9 bhp,168Nm@ 2500rpm,5.0
Maruti Alto,2013,72593,141984,Petrol,Individual,Manual,Second Owner,17.4 kmpl,,102.3 bhp,141Nm@ 2000rpm,4.0
Honda WR-V,2015,164777,73007,Petrol,Trustmark Dealer,Automatic,Second Owner,18.97 kmpl,1552 CC,89.3 bhp,112Nm@ 2500rpm,6.0
BMW 5 Series,2013,256203,124031,Petrol,Individual,Manual,Fourth & Above Owner,14.77 kmpl,1982 CC,115.4 bhp,199Nm@ 1500rpm,7.0
Volkswagen Tiguan,2015,148019,122668,Petrol,Dealer,Manual,First Owner,18.26 kmpl,1531 CC,81.6 bhp,126Nm@ 1750rpm,8.0
Volkswagen Vento,2013,92608,127541,Diesel,Individual,Manual,First Owner,21.77 kmpl,1559 CC,104.0 bhp,161Nm@ 2500rpm,7.0
Hyundai Creta,2012,103939,144401,Diesel,Dealer,Automatic,Second Owner,23.28 kmpl,1498 CC,109.3 bhp,166Nm@ 3000rpm,5.0
Honda Civic,2014,161544,115205,Petrol,Individual,Automatic,First Owner,18.92 kmpl,1553 CC,86.1 bhp,140Nm@ 3000rpm,5.0
Honda WR-V,2015,132146,78300,Diesel,Individual,Manual,First Owner,21.65 kmpl,1746 CC,128.0 bhp,180Nm@ 3000rpm,7.0
Mahindra Scorpio,2017,218592,70912,Petrol,Individual,Automatic,First Owner,18.69 kmpl,1622 CC,93.3 bhp,147Nm@ 2200rpm,8.0
Honda Jazz,2011,113148,137602,Diesel,Individual,Manual,First Owner,21.52 kmpl,1669 CC,105.4 bhp,169Nm@ 3000rpm,8.0
Ford EcoSport,2016,85753,123138,LPG,Individual,Manual,Third Owner,20.38 kmpl,1290 CC,72.1 bhp,104Nm@ 2500rpm,6.0
Maruti Wagon R,2013,78207,100314,Diesel,Individual,Manual,First Owner,20.05 kmpl,1311 CC,73.6 bhp,,5.0
Renault Triber,2014,68774,125295,Petrol,Individual,Manual,First Owner,24.07 kmpl,1246 CC,55.5 bhp,69Nm@ 4000rpm,7.0
Toyota Etios,2018,281593,25234,Petrol,Individual,Manual,First Owner,19.09 kmpl,1589 CC,92.7 bhp,90Nm@ 4000rpm,7.0
Hyundai Creta,2014,77720,97132,LPG,Individual,Manual,Second Owner,21.01 kmpl,1261 CC,99.9 bhp,164Nm@ 4000rpm,5.0
Volkswagen Vento,2020,331228,48549,Diesel,Individual,Automatic,Second Owner,20.89 kmpl,1804 CC,123.3 bhp,150Nm@ 2200rpm,7.0
Tata Safari,2019,174920,75334,Diesel,Individual,Manual,Second Owner,24.03 kmpl,1687 CC,99.8 bhp,143Nm@ 2200rpm,8.0
Maruti Ertiga,2018,143893,64267,Diesel,Individual,Manual,Third Owner,23.2 kmpl,1421 CC,95.4 bhp,149Nm@ 3000rpm,7.0
Maruti Baleno,2009,46842,162189,Diesel,Individual,Manual,Third Owner,23.29 kmpl,1221 CC,77.4 bhp,124Nm@ 3000rpm,6.0
Mahindra XUV300,2018,149715,73849,Diesel,Dealer,Manual,Second Owner,20.1 kmpl,1721 CC,110.3 bhp,172Nm@ 4000rpm,8.0
Toyota Corolla,2008,59619,200832,Diesel,Individual,Manual,Second Owner,20.46 kmpl,1634 CC,102.1 bhp,154Nm@ 2500rpm,8.0
Audi Q3,2009,211537,181307,Diesel,Trustmark Dealer,Manual,First Owner,18.28 kmpl,2018 CC,112.6 bhp,204Nm@ 3000rpm,5.0
Volkswagen Vento,2021,305903,23786,Petrol,Dealer,Manual,Second Owner,19.61 kmpl,1431 CC,95.5 bhp,138Nm@ 4000rpm,5.0
Volkswagen Tiguan,2014,131505,101231,Petrol,Individual,Manual,First Owner,17.3 kmpl,1520 CC,101.5 bhp,167Nm@ 1500rpm,8.0
Tata Safari,2018,163415,56324,Petrol,Individual,Manual,First Owner,18.05 kmpl,1340 CC,87.5 bhp,109Nm@ 3000rpm,7.0
Toyota Fortuner,2011,89825,147353,Petrol,Individual,Manual,First Owner,22.11 kmpl,1355 CC,89.9 bhp,161Nm@ 1750rpm,5.0
Renault Triber,2018,192197,54682,Diesel,Individual,Automatic,First Owner,20.1 kmpl,1587 CC,96.8 bhp,139Nm@ 3000rpm,5.0
Hyundai i10,2021,361393,20537,Diesel,Dealer,Automatic,First Owner,20.13 kmpl,1551 CC,99.3 bhp,141Nm@ 3000rpm,7.0
Honda WR-V,2012,107979,114805,Petrol,Individual,Automatic,First Owner,20.0 kmpl,1241 CC,76.2 bhp,89Nm@ 4000rpm,6.0
Tata Altroz,2015,125755,107895,Diesel,Individual,Manual,Third Owner,23.17 kmpl,1732 CC,114.5 bhp,173Nm@ 2500rpm,6.0
Tata Harrier,2009,40000,190521,Diesel,Individual,Manual,Fourth & Above Owner,21.41 kmpl,1254 CC,71.6 bhp,121Nm@ 2200rpm,5.0
Honda Amaze,2020,266430,39774,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1927 CC,115.2 bhp,152Nm@ 2000rpm,4.0
BMW 3 Series,2014,359153,132275,Petrol,Individual,Manual,First Owner,14.86 kmpl,2137 CC,131.7 bhp,215Nm@ 2200rpm,5.0
Ford Endeavour,2012,72316,170041,Petrol,Dealer,Manual,First Owner,20.51 kmpl,1165 CC,70.5 bhp,108Nm@ 2200rpm,5.0
Hyundai Venue,2017,144640,55923,Petrol,Individual,Manual,First Owner,18.86 kmpl,1517 CC,99.1 bhp,145Nm@ 4000rpm,5.0
Tata Altroz,2013,105345,120825,Diesel,Individual,Manual,Second Owner,20.2 kmpl,1814 CC,121.4 bhp,171Nm@ 1750rpm,8.0
Hyundai Verna,2016,131844,77102,Petrol,Dealer,Manual,Fourth & Above Owner,21.01 kmpl,1461 CC,104.9 bhp,174Nm@ 4000rpm,6.0
